Computer 553;Inactive;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;13/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 554;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;06/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 556;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;14/06/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 557;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;19/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 559;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;30/08/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 560;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;02/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 564;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;06/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 565;Inactive;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;20/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2037;Production;Operational;DELL;Latitude 5414 Rugged;Special devices for personal computing;LEITNER SPA;ITA-VIPITENO;01/01/2017;01/01/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2038;Production;Operational;DELL;Latitude 5414 Rugged;Special devices for personal computing;LEITNER SPA;ITA-VIPITENO;01/01/2017;01/01/2017;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2039;Production;Operational;DELL;Latitude 5414 Rugged;Special devices for personal computing;LEITNER SPA;ITA-VIPITENO;01/01/2017;01/01/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2040;Production;Operational;DELL;Latitude 5414 Rugged;Special devices for personal computing;LEITNER SPA;ITA-VIPITENO;01/01/2017;01/01/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2774;Production;Operational;DELL;Latitude 5470;Standard laptops;PRINOTH GMBH;SVK-STARA-LUBOVNA;01/01/2016;01/01/2016;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 77;Production;Operational;DELL;Latitude 5580;Standard laptops;POMA SAS;FRA-FRANCIN;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3755;Production;Operational;DELL;Latitude E5450;Standard laptops;LEITNER SPA;ITA-VIPITENO;07/04/2022;07/04/2022;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 83;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA COLOMBIA SAS;COL-BELLO;;01/07/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 277;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA BEIJING ROPEWAY CO. LTD;CHN-HUAIROU;12/01/2022;20/07/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 354;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA LLC;RUS-MOSCOW;;22/05/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 542;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;03/05/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 543;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;01/08/2019;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 544;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 546;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;26/08/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 547;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;12/07/2021;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 548;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-FRANCIN;20/06/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 551;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA SAS;FRA-VOREPPE;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 966;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 967;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;30/06/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1015;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1016;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1017;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1051;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-VOREPPE;24/08/2021;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1060;Production;Operational;DELL;Latitude E5470;Standard laptops;POMA Leasing 2016;FRA-GILLY;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1948;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1951;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1953;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1955;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;AUT-TELFS;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1958;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1959;Production;Operational;DELL;Latitude E5470;Standard laptops;TELEFERICOS Y NIEVE SL;ESP-BARCELONA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1961;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1962;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1963;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1965;Production;Operational;DELL;Latitude E5470;Standard laptops;DEMACLENKO;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1968;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;AUT-TELFS;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1970;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1971;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1973;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1975;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1976;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;BUL-SOFIA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1977;Production;Operational;DELL;Latitude E5470;Standard laptops;DEMACLENKO;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1978;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1979;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1980;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;AUT-TELFS;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1981;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-SINIGO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1982;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1986;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-BOLZANO;01/01/2016;01/01/2016;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1987;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1990;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1991;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2027;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;SVK-STARA-LUBOVNA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2028;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2029;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2030;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;TUR-ANKARA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2195;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2319;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITWIND;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2819;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITWIND;ITA-BISACCIA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2828;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITWIND;ITA-BISACCIA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2944;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2945;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2946;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2947;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2948;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-CALGARY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2949;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2950;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2951;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2954;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2956;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;USA-NH-GILMANTON;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2957;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2959;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2960;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2961;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;USA-NV-RENO;29/01/2020;26/01/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2962;Maintenance;Incident;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Shared;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3044;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3045;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3059;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3066;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;29/01/2020;26/01/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3106;Production;Operational;DELL;Latitude E5470;Standard laptops;LEITNER-POMA OF AMERICA INC;USA-CO-GRANDJUNCTION;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3112;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;20/04/2020;19/04/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 3119;Production;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH NA;CAN-GRANBY;10/02/2020;07/02/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 74;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-GILLY;20/07/2019;20/07/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 75;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-FRANCIN;20/07/2019;20/07/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 78;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA COLOMBIA SAS;COL-BELLO;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 79;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA COLOMBIA SAS;COL-BELLO;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 80;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA COLOMBIA SAS;COL-BELLO;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 81;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA COLOMBIA SAS;COL-BELLO;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 533;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 555;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;01/08/2019;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 558;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;01/08/2019;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 561;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 562;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;09/09/2022;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 563;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;19/03/2021;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 566;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;24/08/2021;01/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 569;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;01/03/2020;01/03/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 962;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-GILLY;;12/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 963;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-GILLY;20/05/2022;12/08/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 971;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-GILLY;;15/03/2017;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1197;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA SAS;FRA-VOREPPE;20/07/2019;20/07/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1281;Production;Operational;DELL;Latitude E5570;Standard laptops;POMA Leasing 2016;FRA-VOREPPE;08/01/2019;08/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1841;Production;Operational;DELL;Latitude E5570;Standard laptops;PRINOTH SPA;GER-HERDWANGEN;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1935;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1938;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1939;Production;Operational;DELL;Latitude E5570;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1940;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1942;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-ROVERETO;01/01/2016;01/01/2016;Temporary;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1945;Production;Operational;DELL;Latitude E5570;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1946;Production;Operational;DELL;Latitude E5570;Standard laptops;TELEFERICOS Y NIEVE SL;ESP-BILBAO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1947;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;AUT-VIENNA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1949;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1952;Production;Operational;DELL;Latitude E5570;Standard laptops;TELEFERICOS Y NIEVE SL;ESP-BILBAO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1960;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2015;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;CHE-BAAR;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2017;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;SVK-STARA-LUBOVNA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2018;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2019;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2020;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2033;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2034;Production;Operational;DELL;Latitude E5570;Standard laptops;DEMACLENKO;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1849;Inactive;Operational;DELL;Latitude E5570;Standard laptops;PRINOTH SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 2824;Production;Operational;DELL;Latitude E5570;Standard laptops;LEITWIND;ITA-BISACCIA;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1883;Inactive;Operational;DELL;Latitude E5470;Standard laptops;PRINOTH SPA;AUT-TELFS;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1944;Inactive;Operational;DELL;Latitude E5570;Standard laptops;LEITNER SPA;AUT-TELFS;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1954;Inactive;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1964;Inactive;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1967;Inactive;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
Computer 1972;Inactive;Operational;DELL;Latitude E5470;Standard laptops;LEITNER SPA;ITA-VIPITENO;01/01/2016;01/01/2016;Permanent;Intel(R) Core(TM) i3-6100U CPU @ 2.30GHz;15
