Computer 1709;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-VIENNA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1710;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-TELFS;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1712;Production;Operational;DELL;Precision T5820;Standard workstations;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1713;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1714;Production;Operational;DELL;Precision T5820;Standard workstations;DEMACLENKO;ITA-SELVA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1715;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1716;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1723;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1724;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-TORINO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1725;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1726;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-VIENNA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1727;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-TORINO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1728;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Shared;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1729;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1730;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-TORINO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1731;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1732;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1733;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;AUT-VIENNA;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1734;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-BOLZANO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1735;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1736;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1747;Production;Operational;DELL;Precision T5820;Standard workstations;LEITNER SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
Computer 1748;Production;Operational;DELL;Precision T5820;Standard workstations;PRINOTH SPA;ITA-VIPITENO;01/01/2018;01/01/2018;Permanent;Intel(R) Xeon(R) W-2125 CPU @ 4.00GHz;140
